계수,이름,도면층,블록 단위,색상,위치 X,위치 Y,위치 Z,주석,회전,각도,길이,끝 X,끝 Y,끝 Z,델타 X,델타 Y,델타 Z,시작 X,시작 Y,시작 Z,면적,반지름,시작 각도,전체 각도,중심점 X,중심점 Y,중심점 Z
1,선,DR,,ByLayer,,,,,,0.00,0.05,26.10,11.42,0.00,0.05,0.00,0.00,26.06,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,26.10,12.42,0.00,0.00,1.00,0.00,26.10,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,0.00,0.05,25.60,12.42,0.00,0.05,0.00,0.00,25.55,12.42,0.00,,,,,,,
1,호,DR,,ByLayer,,,,,,,1.53,,,,,,,,,,0.26,1.00,92.58,87.42,25.60,12.42,0.00
1,doorBlock,DR,미터,ByLayer,21.31,12.42,0.00,,180.00,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,25.60,11.42,0.00,0.00,-1.00,0.00,25.60,12.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.05,25.55,11.42,0.00,-0.05,0.00,0.00,25.60,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,25.55,12.42,0.00,0.00,1.00,0.00,25.55,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.05,58.62,12.42,0.00,-0.05,0.00,0.00,58.66,12.42,0.00,,,,,,,
1,호,DR,,ByLayer,,,,,,,1.53,,,,,,,,,,0.26,1.00,92.58,87.42,58.62,12.42,0.00
1,doorBlock,DR,미터,ByLayer,30.31,12.42,0.00,,180.00,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,58.62,11.42,0.00,0.00,-1.00,0.00,58.62,12.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,0.00,0.05,58.66,11.42,0.00,0.05,0.00,0.00,58.62,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,58.66,12.42,0.00,0.00,1.00,0.00,58.66,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.05,29.31,12.42,0.00,-0.05,0.00,0.00,29.35,12.42,0.00,,,,,,,
1,호,DR,,ByLayer,,,,,,,1.53,,,,,,,,,,0.26,1.00,92.58,87.42,29.31,12.42,0.00
1,doorBlock,DR,미터,ByLayer,27.06,12.42,0.00,,180.00,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,29.31,11.42,0.00,0.00,-1.00,0.00,29.31,12.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,0.00,0.05,29.35,11.42,0.00,0.05,0.00,0.00,29.31,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,29.35,12.42,0.00,0.00,1.00,0.00,29.35,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,0.00,0.05,15.82,12.42,0.00,0.05,0.00,0.00,15.77,12.42,0.00,,,,,,,
1,호,DR,,ByLayer,,,,,,,1.53,,,,,,,,,,0.26,1.00,92.58,87.42,15.82,12.42,0.00
1,doorBlock,DR,미터,ByLayer,11.55,12.42,0.00,,180.00,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,15.82,11.42,0.00,0.00,-1.00,0.00,15.82,12.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.05,15.77,11.42,0.00,-0.05,0.00,0.00,15.82,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,15.77,12.42,0.00,0.00,1.00,0.00,15.77,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,0.00,0.05,12.55,12.42,0.00,0.05,0.00,0.00,12.50,12.42,0.00,,,,,,,
